Thresh%	Bins	bytes	pSNR
99.900	10	2100384	18.01
99.900	12	2100472	22.83
99.900	14	2100664	24.11
99.900	16	2101052	24.96
99.900	18	2101272	25.11
99.900	20	2101848	25.27
99.900	22	2102440	25.61
99.900	24	2102440	26.12
99.900	26	2102556	26.28
99.900	28	2103144	25.97
99.900	30	2103148	26.14
99.900	32	2103480	25.85
99.900	34	2103484	25.81
99.900	36	2103872	25.93
99.900	38	2103876	26.10
99.900	40	2104236	25.99
99.900	42	2104256	28.84
99.900	44	2104592	29.16
99.900	46	2104716	29.28
99.900	48	2104728	29.16
99.900	50	2104840	29.02
99.900	52	2104860	29.35
99.900	54	2105288	29.34
99.900	56	2105612	29.26
99.900	58	2105352	29.24
99.900	60	2105384	29.36
99.900	62	2105716	29.34
99.900	64	2105732	29.44
99.900	66	2105776	29.51
99.900	68	2105956	29.35
99.900	70	2106292	29.48
99.900	72	2106180	29.43
99.900	74	2106392	29.46
99.900	76	2106320	29.42
99.900	78	2106352	29.43
99.900	80	2106564	29.45
99.900	82	2106540	29.45
99.900	84	2106556	29.52
99.900	86	2106884	29.49
99.900	88	2106968	29.41
99.900	90	2107024	29.52
99.900	92	2107064	29.51
99.900	94	2107124	29.41
99.900	96	2107204	29.45
99.900	98	2107268	29.51
99.900	100	2107324	29.53
99.900	102	2107388	29.45
99.900	104	2107364	29.54
99.900	106	2107404	29.50
99.900	108	2107496	29.48
99.900	110	2107596	30.42
99.900	112	2107608	30.44
99.900	114	2107712	30.43
99.900	116	2107768	30.43
99.900	118	2107820	30.44
99.900	120	2107788	30.43
99.900	122	2107884	30.44
99.900	124	2107928	30.45
99.900	126	2107964	30.44
99.900	128	2107968	30.45
99.900	130	2108100	30.45
99.900	132	2108160	30.46
99.900	134	2108204	30.44
99.900	136	2108248	30.46
99.900	138	2108268	30.46
99.900	140	2108324	30.45
99.900	142	2108320	30.46
99.900	144	2108408	30.47
99.900	146	2108412	30.45
99.900	148	2108484	30.46
99.900	150	2108536	30.47
99.900	152	2108568	30.48
99.900	154	2108596	30.48
99.900	156	2108656	30.47
99.900	158	2108688	30.48
99.900	160	2108708	30.47
99.900	162	2108756	30.48
99.900	164	2108800	30.48
99.900	166	2108816	30.48
99.900	168	2108860	30.48
99.900	170	2108920	30.48
99.900	172	2108928	30.48
99.900	174	2108964	30.47
99.900	176	2109012	30.48
99.900	178	2109036	30.48
99.900	180	2109080	30.48
99.900	182	2109092	30.49
99.900	184	2109136	30.48
99.900	186	2109164	30.48
99.900	188	2109200	30.48
99.900	190	2109216	30.48
99.900	192	2109248	30.48
99.900	194	2109272	30.49
99.900	196	2109308	30.49
99.900	198	2109336	30.51
99.900	200	2109360	30.50
99.895	10	2100548	18.05
99.895	12	2100632	22.83
99.895	14	2100828	24.13
99.895	16	2101236	24.99
99.895	18	2101452	25.14
99.895	20	2102052	25.29
99.895	22	2102632	25.64
99.895	24	2102636	26.16
99.895	26	2102820	26.32
99.895	28	2103412	26.02
99.895	30	2103416	26.19
99.895	32	2103748	25.90
99.895	34	2103756	25.95
99.895	36	2104156	25.90
99.895	38	2104160	26.13
99.895	40	2104548	26.04
99.895	42	2104552	28.92
99.895	44	2104876	29.24
99.895	46	2105008	29.36
99.895	48	2105156	29.25
99.895	50	2105164	29.26
99.895	52	2105188	29.43
99.895	54	2105656	29.42
99.895	56	2105692	29.35
99.895	58	2105708	29.33
99.895	60	2106036	29.47
99.895	62	2106092	29.47
99.895	64	2106104	29.53
99.895	66	2106152	29.60
99.895	68	2106316	29.41
99.895	70	2106724	29.53
99.895	72	2106776	29.50
99.895	74	2106868	29.53
99.895	76	2106832	29.50
99.895	78	2107080	29.56
99.895	80	2106880	29.58
99.895	82	2106932	29.57
99.895	84	2106932	29.59
99.895	86	2107120	29.52
99.895	88	2107264	29.50
99.895	90	2107512	29.60
99.895	92	2107588	29.62
99.895	94	2107404	29.53
99.895	96	2107508	29.60
99.895	98	2107520	29.65
99.895	100	2107840	29.58
99.895	102	2107892	29.58
99.895	104	2107824	29.65
99.895	106	2107980	29.61
99.895	108	2108060	29.64
99.895	110	2108028	30.54
99.895	112	2108140	30.55
99.895	114	2108224	30.55
99.895	116	2108260	30.55
99.895	118	2108256	30.57
99.895	120	2108368	30.55
99.895	122	2108372	30.55
99.895	124	2108484	30.58
99.895	126	2108540	30.56
99.895	128	2108612	30.55
99.895	130	2108616	30.57
99.895	132	2108692	30.57
99.895	134	2108728	30.58
99.895	136	2108704	30.58
99.895	138	2108776	30.58
99.895	140	2108820	30.58
99.895	142	2108904	30.58
99.895	144	2108952	30.58
99.895	146	2109008	30.58
99.895	148	2109028	30.59
99.895	150	2109076	30.59
99.895	152	2109120	30.59
99.895	154	2109132	30.59
99.895	156	2109200	30.58
99.895	158	2109240	30.59
99.895	160	2109276	30.59
99.895	162	2109308	30.59
99.895	164	2109356	30.60
99.895	166	2109396	30.60
99.895	168	2109404	30.60
99.895	170	2109460	30.59
99.895	172	2109500	30.60
99.895	174	2109552	30.59
99.895	176	2109576	30.60
99.895	178	2109608	30.61
99.895	180	2109640	30.59
99.895	182	2109640	30.60
99.895	184	2109704	30.60
99.895	186	2109756	30.59
99.895	188	2109776	30.60
99.895	190	2109792	30.60
99.895	192	2109856	30.60
99.895	194	2109876	30.60
99.895	196	2109912	30.61
99.895	198	2109944	30.62
99.895	200	2109976	30.63
99.890	10	2100716	18.05
99.890	12	2100804	22.83
99.890	14	2101000	24.14
99.890	16	2101416	25.01
99.890	18	2101664	25.14
99.890	20	2102252	25.33
99.890	22	2102856	25.67
99.890	24	2102856	26.20
99.890	26	2103072	26.34
99.890	28	2103668	26.05
99.890	30	2103672	26.22
99.890	32	2104012	25.93
99.890	34	2104016	26.00
99.890	36	2104436	25.94
99.890	38	2104440	26.08
99.890	40	2104808	26.08
99.890	42	2104880	28.97
99.890	44	2105240	29.31
99.890	46	2105316	29.45
99.890	48	2105540	29.42
99.890	50	2105544	29.34
99.890	52	2105912	29.53
99.890	54	2106008	29.56
99.890	56	2106040	29.50
99.890	58	2106052	29.41
99.890	60	2106456	29.59
99.890	62	2106488	29.56
99.890	64	2106500	29.33
99.890	66	2106652	29.67
99.890	68	2106680	29.54
99.890	70	2106900	29.61
99.890	72	2107272	29.60
99.890	74	2107116	29.66
99.890	76	2107488	29.65
99.890	78	2107340	29.65
99.890	80	2107280	29.66
99.890	82	2107328	29.61
99.890	84	2107640	29.69
99.890	86	2107720	29.61
99.890	88	2107776	29.64
99.890	90	2108036	29.66
99.890	92	2108104	29.72
99.890	94	2108168	29.66
99.890	96	2107968	29.63
99.890	98	2107972	29.74
99.890	100	2108344	29.69
99.890	102	2108356	29.69
99.890	104	2108388	29.74
99.890	106	2108384	29.73
99.890	108	2108600	29.74
99.890	110	2108652	29.70
99.890	112	2108680	30.65
99.890	114	2108672	30.66
99.890	116	2108820	30.64
99.890	118	2108848	30.67
99.890	120	2108884	30.67
99.890	122	2108928	30.68
99.890	124	2109004	30.66
99.890	126	2109088	30.67
99.890	128	2109072	30.67
99.890	130	2109200	30.68
99.890	132	2109200	30.68
99.890	134	2109232	30.69
99.890	136	2109296	30.67
99.890	138	2109356	30.69
99.890	140	2109416	30.70
99.890	142	2109488	30.67
99.890	144	2109544	30.67
99.890	146	2109576	30.70
99.890	148	2109628	30.68
99.890	150	2109696	30.70
99.890	152	2109736	30.69
99.890	154	2109772	30.70
99.890	156	2109824	30.70
99.890	158	2109840	30.70
99.890	160	2109880	30.69
99.890	162	2109928	30.69
99.890	164	2109992	30.71
99.890	166	2110024	30.70
99.890	168	2110040	30.70
99.890	170	2110092	30.71
99.890	172	2110124	30.71
99.890	174	2110156	30.70
99.890	176	2110180	30.71
99.890	178	2110208	30.71
99.890	180	2110276	30.70
99.890	182	2110300	30.71
99.890	184	2110332	30.71
99.890	186	2110368	30.70
99.890	188	2110404	30.71
99.890	190	2110436	30.71
99.890	192	2110472	30.71
99.890	194	2110496	30.71
99.890	196	2110516	30.72
99.890	198	2110560	30.71
99.890	200	2110600	30.74
99.884	10	2100888	18.04
99.884	12	2100984	22.83
99.884	14	2101188	24.13
99.884	16	2101604	25.02
99.884	18	2101860	25.13
99.884	20	2102448	25.36
99.884	22	2103076	25.70
99.884	24	2103080	26.23
99.884	26	2103344	26.38
99.884	28	2103984	26.38
99.884	30	2103988	26.25
99.884	32	2104336	25.99
99.884	34	2104340	26.03
99.884	36	2104832	25.99
99.884	38	2105124	25.69
99.884	40	2105136	26.14
99.884	42	2105180	29.03
99.884	44	2105624	29.39
99.884	46	2105636	29.54
99.884	48	2105876	29.49
99.884	50	2105884	29.42
99.884	52	2106248	29.61
99.884	54	2106396	29.67
99.884	56	2106444	29.56
99.884	58	2107072	29.60
99.884	60	2106860	29.68
99.884	62	2106872	29.64
99.884	64	2106880	29.44
99.884	66	2107476	29.70
99.884	68	2107208	29.62
99.884	70	2107328	29.67
99.884	72	2107528	29.68
99.884	74	2107532	29.75
99.884	76	2107560	29.81
99.884	78	2107900	29.70
99.884	80	2107996	29.77
99.884	82	2108004	29.71
99.884	84	2108028	29.76
99.884	86	2108396	29.74
99.884	88	2108208	29.79
99.884	90	2108220	29.73
99.884	92	2108308	29.81
99.884	94	2108552	29.81
99.884	96	2108732	29.73
99.884	98	2108792	29.82
99.884	100	2108888	29.80
99.884	102	2108916	29.79
99.884	104	2109000	29.67
99.884	106	2109096	29.83
99.884	108	2109160	29.78
99.884	110	2109168	29.71
99.884	112	2109200	30.76
99.884	114	2109300	30.78
99.884	116	2109352	30.78
99.884	118	2109452	30.77
99.884	120	2109512	30.78
99.884	122	2109548	30.78
99.884	124	2109624	30.79
99.884	126	2109668	30.80
99.884	128	2109696	30.79
99.884	130	2109692	30.79
99.884	132	2109836	30.80
99.884	134	2109908	30.81
99.884	136	2109956	30.78
99.884	138	2110000	30.81
99.884	140	2110028	30.80
99.884	142	2110100	30.79
99.884	144	2110080	30.81
99.884	146	2110176	30.82
99.884	148	2110224	30.81
99.884	150	2110288	30.80
99.884	152	2110336	30.82
99.884	154	2110376	30.82
99.884	156	2110436	30.82
99.884	158	2110448	30.82
99.884	160	2110484	30.82
99.884	162	2110552	30.82
99.884	164	2110592	30.83
99.884	166	2110608	30.82
99.884	168	2110672	30.83
99.884	170	2110708	30.82
99.884	172	2110736	30.82
99.884	174	2110768	30.83
99.884	176	2110836	30.82
99.884	178	2110872	30.83
99.884	180	2110928	30.83
99.884	182	2110956	30.83
99.884	184	2110980	30.83
99.884	186	2111008	30.83
99.884	188	2111068	30.82
99.884	190	2111092	30.83
99.884	192	2111112	30.83
99.884	194	2111168	30.83
99.884	196	2111192	30.83
99.884	198	2111232	30.84
99.884	200	2111272	30.86
99.878	10	2101072	18.04
99.878	12	2101168	22.81
99.878	14	2101376	24.13
99.878	16	2101796	25.03
99.878	18	2102072	25.13
99.878	20	2102656	25.39
99.878	22	2103332	25.73
99.878	24	2103472	26.20
99.878	26	2103628	26.46
99.878	28	2104264	26.41
99.878	30	2104264	26.35
99.878	32	2104636	26.02
99.878	34	2104644	26.06
99.878	36	2105136	26.05
99.878	38	2105428	25.73
99.878	40	2105440	26.18
99.878	42	2105976	29.07
99.878	44	2106012	29.46
99.878	46	2106024	29.62
99.878	48	2106292	29.60
99.878	50	2106296	29.50
99.878	52	2106632	29.74
99.878	54	2106792	29.58
99.878	56	2106804	29.71
99.878	58	2107188	29.54
99.878	60	2107264	29.78
99.878	62	2107656	29.71
99.878	64	2107392	29.64
99.878	66	2107592	29.81
99.878	68	2107600	29.76
99.878	70	2107764	29.72
99.878	72	2107932	29.85
99.878	74	2108032	29.83
99.878	76	2107964	29.89
99.878	78	2108396	29.72
99.878	80	2108428	29.81
99.878	82	2108448	29.82
99.878	84	2108796	29.85
99.878	86	2108656	29.85
99.878	88	2108800	29.86
99.878	90	2109084	29.83
99.878	92	2109196	29.89
99.878	94	2109152	29.88
99.878	96	2109312	29.78
99.878	98	2109296	29.92
99.878	100	2109300	29.90
99.878	102	2109532	29.89
99.878	104	2109504	29.81
99.878	106	2109536	29.91
99.878	108	2109588	29.87
99.878	110	2109744	29.84
99.878	112	2109872	30.88
99.878	114	2109832	30.90
99.878	116	2109844	30.89
99.878	118	2110028	30.89
99.878	120	2110040	30.90
99.878	122	2110096	30.89
99.878	124	2110188	30.90
99.878	126	2110264	30.92
99.878	128	2110320	30.90
99.878	130	2110412	30.90
99.878	132	2110424	30.91
99.878	134	2110436	30.91
99.878	136	2110580	30.92
99.878	138	2110596	30.93
99.878	140	2110636	30.92
99.878	142	2110656	30.92
99.878	144	2110768	30.92
99.878	146	2110816	30.93
99.878	148	2110872	30.93
99.878	150	2110924	30.92
99.878	152	2110948	30.94
99.878	154	2111016	30.93
99.878	156	2111068	30.93
99.878	158	2111108	30.91
99.878	160	2111156	30.94
99.878	162	2111224	30.93
99.878	164	2111264	30.92
99.878	166	2111284	30.94
99.878	168	2111332	30.94
99.878	170	2111404	30.93
99.878	172	2111432	30.94
99.878	174	2111484	30.95
99.878	176	2111520	30.94
99.878	178	2111544	30.95
99.878	180	2111552	30.95
99.878	182	2111572	30.93
99.878	184	2111672	30.95
99.878	186	2111708	30.95
99.878	188	2111732	30.94
99.878	190	2111748	30.94
99.878	192	2111820	30.94
99.878	194	2111856	30.94
99.878	196	2111888	30.95
99.878	198	2111912	30.95
99.878	200	2111944	30.95
99.872	10	2101268	18.04
99.872	12	2101356	22.79
99.872	14	2101576	24.12
99.872	16	2102000	25.04
99.872	18	2102284	25.12
99.872	20	2102928	25.41
99.872	22	2103568	25.75
99.872	24	2103752	26.23
99.872	26	2103964	26.48
99.872	28	2104572	26.40
99.872	30	2104576	26.38
99.872	32	2104968	26.06
99.872	34	2104972	26.10
99.872	36	2105464	26.07
99.872	38	2105760	25.77
99.872	40	2105772	26.27
99.872	42	2106380	29.23
99.872	44	2106440	29.56
99.872	46	2106504	29.60
99.872	48	2106660	29.67
99.872	50	2107052	29.48
99.872	52	2107136	29.80
99.872	54	2107224	29.76
99.872	56	2107232	29.80
99.872	58	2108000	29.64
99.872	60	2107712	29.88
99.872	62	2107912	29.79
99.872	64	2108004	29.78
99.872	66	2108100	29.89
99.872	68	2108152	29.97
99.872	70	2108732	29.79
99.872	72	2108432	29.94
99.872	74	2108448	29.89
99.872	76	2108776	29.91
99.872	78	2108856	29.86
99.872	80	2109232	29.88
99.872	82	2108900	29.90
99.872	84	2109408	29.90
99.872	86	2109120	29.98
99.872	88	2109628	29.89
99.872	90	2109716	29.89
99.872	92	2109548	29.97
99.872	94	2109720	29.98
99.872	96	2109632	29.86
99.872	98	2109672	29.98
99.872	100	2109796	30.01
99.872	102	2109984	29.94
99.872	104	2110044	29.95
99.872	106	2110272	30.01
99.872	108	2110272	29.98
99.872	110	2110412	30.01
99.872	112	2110488	31.00
99.872	114	2110540	31.01
99.872	116	2110600	31.01
99.872	118	2110612	31.01
99.872	120	2110744	31.01
99.872	122	2110796	31.02
99.872	124	2110788	31.03
99.872	126	2110936	31.01
99.872	128	2111000	31.02
99.872	130	2110968	31.02
99.872	132	2111104	31.03
99.872	134	2111132	31.02
99.872	136	2111164	31.04
99.872	138	2111232	31.02
99.872	140	2111268	31.04
99.872	142	2111352	31.05
99.872	144	2111488	31.03
99.872	146	2111532	31.02
99.872	148	2111548	31.05
99.872	150	2111620	31.03
99.872	152	2111664	31.04
99.872	154	2111712	31.03
99.872	156	2111772	31.04
99.872	158	2111820	31.05
99.872	160	2111860	31.05
99.872	162	2111908	31.05
99.872	164	2111932	31.05
99.872	166	2112008	31.06
99.872	168	2112040	31.05
99.872	170	2112072	31.06
99.872	172	2112136	31.06
99.872	174	2112168	31.06
99.872	176	2112196	31.06
99.872	178	2112232	31.05
99.872	180	2112304	31.07
99.872	182	2112340	31.07
99.872	184	2112384	31.06
99.872	186	2112412	31.07
99.872	188	2112444	31.06
99.872	190	2112500	31.05
99.872	192	2112544	31.06
99.872	194	2112568	31.06
99.872	196	2112608	31.06
99.872	198	2112648	31.07
99.872	200	2112684	31.07
99.866	10	2101472	18.06
99.866	12	2101560	22.79
99.866	14	2101784	24.11
99.866	16	2102216	25.08
99.866	18	2102512	25.14
99.866	20	2103168	25.45
99.866	22	2103940	25.79
99.866	24	2104000	26.27
99.866	26	2104264	26.52
99.866	28	2104900	26.42
99.866	30	2104904	26.34
99.866	32	2105280	26.09
99.866	34	2105284	26.13
99.866	36	2105820	26.10
99.866	38	2106132	26.00
99.866	40	2106140	26.31
99.866	42	2106800	29.03
99.866	44	2106816	29.64
99.866	46	2107072	29.67
99.866	48	2107080	29.76
99.866	50	2107972	29.63
99.866	52	2107668	29.89
99.866	54	2107704	29.85
99.866	56	2107708	29.88
99.866	58	2108140	29.78
99.866	60	2108164	29.97
99.866	62	2108348	29.90
99.866	64	2108960	29.87
99.866	66	2108676	29.95
99.866	68	2108700	30.06
99.866	70	2109300	29.88
99.866	72	2108916	29.83
99.866	74	2109192	29.95
99.866	76	2109576	29.97
99.866	78	2109744	29.90
99.866	80	2109872	29.96
99.866	82	2109840	30.04
99.866	84	2109624	30.02
99.866	86	2109628	30.04
99.866	88	2109768	29.97
99.866	90	2110008	30.00
99.866	92	2110020	30.02
99.866	94	2110224	30.10
99.866	96	2110268	30.01
99.866	98	2110276	30.03
99.866	100	2110288	30.11
99.866	102	2110652	30.06
99.866	104	2110832	30.05
99.866	106	2110884	30.11
99.866	108	2110976	30.09
99.866	110	2110992	30.11
99.866	112	2111120	30.06
99.866	114	2111172	31.10
99.866	116	2111260	31.12
99.866	118	2111336	31.12
99.866	120	2111332	31.12
99.866	122	2111480	31.13
99.866	124	2111540	31.13
99.866	126	2111612	31.13
99.866	128	2111628	31.15
99.866	130	2111716	31.14
99.866	132	2111716	31.14
99.866	134	2111872	31.15
99.866	136	2111936	31.16
99.866	138	2111988	31.13
99.866	140	2112068	31.16
99.866	142	2112064	31.15
99.866	144	2112092	31.16
99.866	146	2112200	31.16
99.866	148	2112260	31.17
99.866	150	2112308	31.15
99.866	152	2112356	31.16
99.866	154	2112428	31.17
99.866	156	2112464	31.17
99.866	158	2112512	31.16
99.866	160	2112540	31.17
99.866	162	2112636	31.17
99.866	164	2112676	31.17
99.866	166	2112724	31.17
99.866	168	2112764	31.18
99.866	170	2112800	31.18
99.866	172	2112844	31.17
99.866	174	2112924	31.17
99.866	176	2112968	31.18
99.866	178	2113004	31.17
99.866	180	2113052	31.18
99.866	182	2113068	31.18
99.866	184	2113096	31.17
99.866	186	2113160	31.19
99.866	188	2113216	31.18
99.866	190	2113260	31.18
99.866	192	2113276	31.17
99.866	194	2113336	31.18
99.866	196	2113376	31.18
99.866	198	2113408	31.18
99.866	200	2113440	31.19
99.859	10	2101684	18.05
99.859	12	2101776	22.79
99.859	14	2102004	24.11
99.859	16	2102448	25.10
99.859	18	2102740	25.15
99.859	20	2103428	25.46
99.859	22	2104208	25.82
99.859	24	2104296	26.30
99.859	26	2104564	26.55
99.859	28	2105224	26.46
