Thresh%	Bins	bytes	pSNR
99.900	10	2100472	12.76
99.900	12	2100704	13.20
99.900	14	2100984	13.94
99.900	16	2101304	14.77
99.900	18	2101644	19.43
99.900	20	2102000	19.82
99.900	22	2102356	19.87
99.900	24	2102568	21.14
99.900	26	2102764	21.01
99.900	28	2102956	20.87
99.900	30	2103148	20.90
99.900	32	2103344	21.22
99.900	34	2103536	21.80
99.900	36	2103728	23.41
99.900	38	2103928	23.49
99.900	40	2104128	23.45
99.900	42	2104300	24.41
99.900	44	2104440	24.01
99.900	46	2104580	24.24
99.900	48	2104716	24.64
99.900	50	2104856	24.07
99.900	52	2104980	26.49
99.900	54	2105088	27.59
99.900	56	2105192	27.68
99.900	58	2105292	27.82
99.900	60	2105392	27.50
99.900	62	2105484	27.05
99.900	64	2105576	26.96
99.900	66	2105680	29.27
99.900	68	2105776	28.36
99.900	70	2105872	28.47
99.900	72	2105964	28.30
99.900	74	2106048	28.40
99.900	76	2106132	28.40
99.900	78	2106212	28.52
99.900	80	2106296	28.46
99.900	82	2106372	28.25
99.900	84	2106440	28.47
99.900	86	2106512	28.23
99.900	88	2106588	28.13
99.900	90	2106652	27.42
99.900	92	2106728	27.62
99.900	94	2106796	27.95
99.900	96	2106868	28.64
99.900	98	2106936	28.48
99.900	100	2106996	28.57
99.900	102	2107064	29.43
99.900	104	2107124	29.66
99.900	106	2107180	29.60
99.900	108	2107236	29.67
99.900	110	2107292	29.56
99.900	112	2107348	29.49
99.900	114	2107400	29.78
99.900	116	2107452	29.63
99.900	118	2107500	29.58
99.900	120	2107548	29.46
99.900	122	2107600	29.08
99.900	124	2107648	29.36
99.900	126	2107696	29.81
99.900	128	2107744	29.96
99.900	130	2107796	29.77
99.900	132	2107840	29.53
99.900	134	2107884	29.56
99.900	136	2107928	29.56
99.900	138	2107972	29.52
99.900	140	2108020	29.40
99.900	142	2108064	29.40
99.900	144	2108100	29.36
99.900	146	2108140	29.27
99.900	148	2108188	29.88
99.900	150	2108228	29.90
99.900	152	2108264	30.03
99.900	154	2108308	30.00
99.900	156	2108348	30.12
99.900	158	2108388	30.05
99.900	160	2108428	30.01
99.900	162	2108468	30.22
99.900	164	2108504	30.11
99.900	166	2108548	30.07
99.900	168	2108580	30.06
99.900	170	2108620	29.99
99.900	172	2108656	30.06
99.900	174	2108692	30.09
99.900	176	2108728	29.97
99.900	178	2108756	29.96
99.900	180	2108796	29.78
99.900	182	2108832	29.80
99.900	184	2108868	29.84
99.900	186	2108900	30.00
99.900	188	2108936	30.02
99.900	190	2108972	30.01
99.900	192	2109004	29.98
99.900	194	2109036	29.97
99.900	196	2109068	30.03
99.900	198	2109100	30.11
99.900	200	2109132	30.14
99.895	10	2100632	12.76
99.895	12	2100872	13.29
99.895	14	2101168	13.95
99.895	16	2101496	14.89
99.895	18	2101852	19.44
99.895	20	2102220	19.82
99.895	22	2102596	19.87
99.895	24	2102832	21.02
99.895	26	2103036	20.78
99.895	28	2103236	20.83
99.895	30	2103444	20.94
99.895	32	2103640	21.18
99.895	34	2103844	21.79
99.895	36	2104044	23.40
99.895	38	2104256	23.48
99.895	40	2104460	23.39
99.895	42	2104640	24.42
99.895	44	2104792	23.90
99.895	46	2104940	24.24
99.895	48	2105076	24.45
99.895	50	2105220	24.00
99.895	52	2105356	26.55
99.895	54	2105476	27.66
99.895	56	2105584	27.72
99.895	58	2105692	27.92
99.895	60	2105792	27.48
99.895	62	2105888	27.10
99.895	64	2105992	27.12
99.895	66	2106096	29.39
99.895	68	2106192	28.37
99.895	70	2106296	28.54
99.895	72	2106396	28.36
99.895	74	2106480	28.48
99.895	76	2106568	28.48
99.895	78	2106652	28.53
99.895	80	2106740	28.46
99.895	82	2106824	28.43
99.895	84	2106892	28.49
99.895	86	2106972	28.27
99.895	88	2107052	28.19
99.895	90	2107128	27.52
99.895	92	2107196	27.59
99.895	94	2107268	28.10
99.895	96	2107344	28.76
99.895	98	2107412	28.63
99.895	100	2107480	28.55
99.895	102	2107552	29.28
99.895	104	2107608	29.77
99.895	106	2107668	29.73
99.895	108	2107728	29.73
99.895	110	2107788	29.62
99.895	112	2107848	29.57
99.895	114	2107904	29.83
99.895	116	2107960	29.69
99.895	118	2108012	29.69
99.895	120	2108060	29.68
99.895	122	2108108	29.16
99.895	124	2108160	29.49
99.895	126	2108216	29.88
99.895	128	2108268	30.02
99.895	130	2108312	29.85
99.895	132	2108360	29.55
99.895	134	2108408	29.69
99.895	136	2108456	29.66
99.895	138	2108504	29.68
99.895	140	2108548	29.44
99.895	142	2108592	29.28
99.895	144	2108640	29.43
99.895	146	2108684	29.32
99.895	148	2108724	30.05
99.895	150	2108772	30.03
99.895	152	2108808	29.86
99.895	154	2108856	30.05
99.895	156	2108900	30.23
99.895	158	2108940	30.21
99.895	160	2108984	30.17
99.895	162	2109024	30.28
99.895	164	2109060	30.18
99.895	166	2109104	30.14
99.895	168	2109144	30.17
99.895	170	2109184	30.13
99.895	172	2109224	30.04
99.895	174	2109260	30.19
99.895	176	2109296	30.08
99.895	178	2109332	30.07
99.895	180	2109368	30.03
99.895	182	2109408	29.95
99.895	184	2109440	29.95
99.895	186	2109480	30.18
99.895	188	2109516	30.10
99.895	190	2109552	30.15
99.895	192	2109588	30.15
99.895	194	2109620	30.11
99.895	196	2109652	30.31
99.895	198	2109688	30.17
99.895	200	2109720	30.25
99.890	10	2100804	12.75
99.890	12	2101056	13.32
99.890	14	2101364	13.97
99.890	16	2101708	15.01
99.890	18	2102076	19.45
99.890	20	2102460	19.79
99.890	22	2102848	19.86
99.890	24	2103112	21.00
99.890	26	2103328	20.73
99.890	28	2103536	20.79
99.890	30	2103752	20.90
99.890	32	2103956	21.13
99.890	34	2104168	21.79
99.890	36	2104380	23.55
99.890	38	2104596	23.50
99.890	40	2104804	23.54
99.890	42	2105004	24.40
99.890	44	2105164	23.83
99.890	46	2105312	24.31
99.890	48	2105468	24.32
99.890	50	2105616	23.97
99.890	52	2105752	24.22
99.890	54	2105888	27.82
99.890	56	2106000	27.76
99.890	58	2106112	27.90
99.890	60	2106212	27.52
99.890	62	2106320	27.23
99.890	64	2106424	27.14
99.890	66	2106528	29.29
99.890	68	2106636	28.45
99.890	70	2106744	28.64
99.890	72	2106844	28.52
99.890	74	2106936	28.50
99.890	76	2107024	28.69
99.890	78	2107120	28.82
99.890	80	2107212	28.55
99.890	82	2107296	28.46
99.890	84	2107380	28.47
99.890	86	2107456	28.32
99.890	88	2107536	28.25
99.890	90	2107620	28.21
99.890	92	2107696	27.57
99.890	94	2107772	28.07
99.890	96	2107844	28.77
99.890	98	2107916	28.72
99.890	100	2107992	28.36
99.890	102	2108060	28.94
99.890	104	2108124	29.88
99.890	106	2108192	29.82
99.890	108	2108256	29.82
99.890	110	2108316	29.71
99.890	112	2108372	29.69
99.890	114	2108436	29.96
99.890	116	2108492	29.72
99.890	118	2108544	29.83
99.890	120	2108600	29.82
99.890	122	2108652	29.57
99.890	124	2108704	29.55
99.890	126	2108756	30.01
99.890	128	2108804	29.99
99.890	130	2108860	30.05
99.890	132	2108912	29.96
99.890	134	2108960	29.75
99.890	136	2109012	29.73
99.890	138	2109064	29.77
99.890	140	2109108	29.64
99.890	142	2109156	29.27
99.890	144	2109200	29.56
99.890	146	2109248	29.43
99.890	148	2109292	29.52
99.890	150	2109340	30.17
99.890	152	2109388	29.99
99.890	154	2109432	30.20
99.890	156	2109476	30.16
99.890	158	2109520	30.35
99.890	160	2109568	30.29
99.890	162	2109612	30.39
99.890	164	2109652	30.44
99.890	166	2109696	30.29
99.890	168	2109740	30.26
99.890	170	2109776	30.24
99.890	172	2109816	30.19
99.890	174	2109856	30.24
99.890	176	2109900	30.28
99.890	178	2109940	30.20
99.890	180	2109980	30.16
99.890	182	2110020	29.92
99.890	184	2110056	29.98
99.890	186	2110096	30.04
99.890	188	2110128	30.18
99.890	190	2110164	30.23
99.890	192	2110196	30.17
99.890	194	2110236	30.19
99.890	196	2110268	30.18
99.890	198	2110304	30.23
99.890	200	2110336	30.28
99.884	10	2100988	12.73
99.884	12	2101252	13.37
99.884	14	2101572	13.78
99.884	16	2101932	15.01
99.884	18	2102316	19.31
99.884	20	2102720	19.79
99.884	22	2103124	19.80
99.884	24	2103400	20.95
99.884	26	2103624	20.88
99.884	28	2103848	20.72
99.884	30	2104072	21.01
99.884	32	2104292	21.17
99.884	34	2104504	21.92
99.884	36	2104728	23.52
99.884	38	2104948	23.69
99.884	40	2105172	23.60
99.884	42	2105388	24.42
99.884	44	2105556	24.43
99.884	46	2105720	24.19
99.884	48	2105876	24.33
99.884	50	2106020	24.15
99.884	52	2106180	24.23
99.884	54	2106316	27.90
99.884	56	2106436	27.85
99.884	58	2106544	27.88
99.884	60	2106660	27.52
99.884	62	2106768	27.32
99.884	64	2106876	27.42
99.884	66	2106984	29.26
99.884	68	2107096	28.63
99.884	70	2107208	28.72
99.884	72	2107320	28.59
99.884	74	2107412	28.62
99.884	76	2107512	28.72
99.884	78	2107612	28.83
99.884	80	2107704	28.84
99.884	82	2107800	28.71
99.884	84	2107888	28.58
99.884	86	2107972	28.58
99.884	88	2108052	28.16
99.884	90	2108132	28.22
99.884	92	2108212	27.71
99.884	94	2108288	28.20
99.884	96	2108364	28.79
99.884	98	2108440	28.87
99.884	100	2108520	28.69
99.884	102	2108600	28.97
99.884	104	2108664	29.94
99.884	106	2108732	29.91
99.884	108	2108800	29.90
99.884	110	2108860	29.87
99.884	112	2108928	29.81
99.884	114	2108988	30.07
99.884	116	2109048	29.94
99.884	118	2109104	29.97
99.884	120	2109160	29.83
99.884	122	2109216	29.72
99.884	124	2109268	29.70
99.884	126	2109328	29.61
99.884	128	2109380	30.09
99.884	130	2109436	30.20
99.884	132	2109492	30.06
99.884	134	2109544	29.81
99.884	136	2109592	29.84
99.884	138	2109644	29.84
99.884	140	2109692	29.81
99.884	142	2109744	29.67
99.884	144	2109792	29.66
99.884	146	2109840	29.63
99.884	148	2109892	29.52
99.884	150	2109940	30.21
99.884	152	2109984	30.23
99.884	154	2110036	30.35
99.884	156	2110084	30.31
99.884	158	2110132	30.45
99.884	160	2110172	30.37
99.884	162	2110220	30.33
99.884	164	2110272	30.54
99.884	166	2110316	30.40
99.884	168	2110364	30.33
99.884	170	2110400	30.36
99.884	172	2110448	30.26
99.884	174	2110488	30.38
99.884	176	2110528	30.40
99.884	178	2110568	30.28
99.884	180	2110608	30.28
99.884	182	2110648	30.21
99.884	184	2110688	30.12
99.884	186	2110728	30.15
99.884	188	2110764	30.39
99.884	190	2110800	30.29
99.884	192	2110840	30.37
99.884	194	2110876	30.36
99.884	196	2110912	30.32
99.884	198	2110948	30.54
99.884	200	2110988	30.41
99.878	10	2101176	12.71
99.878	12	2101452	13.39
99.878	14	2101784	14.03
99.878	16	2102156	15.02
99.878	18	2102560	19.14
99.878	20	2102980	19.83
99.878	22	2103404	19.82
99.878	24	2103704	19.71
99.878	26	2103940	20.88
99.878	28	2104176	20.73
99.878	30	2104400	21.03
99.878	32	2104628	21.34
99.878	34	2104856	21.32
99.878	36	2105088	23.57
99.878	38	2105320	23.94
99.878	40	2105548	23.58
99.878	42	2105788	24.42
99.878	44	2105964	23.62
99.878	46	2106132	24.13
99.878	48	2106292	24.39
99.878	50	2106452	24.13
99.878	52	2106616	24.24
99.878	54	2106760	27.16
99.878	56	2106884	27.96
99.878	58	2107000	27.97
99.878	60	2107120	27.76
99.878	62	2107232	27.45
99.878	64	2107344	26.66
99.878	66	2107460	28.86
99.878	68	2107576	28.64
99.878	70	2107696	28.82
99.878	72	2107812	28.67
99.878	74	2107912	28.46
99.878	76	2108012	28.78
99.878	78	2108116	28.89
99.878	80	2108220	28.80
99.878	82	2108312	28.81
99.878	84	2108408	27.99
99.878	86	2108496	28.62
99.878	88	2108584	28.46
99.878	90	2108664	28.53
99.878	92	2108744	27.72
99.878	94	2108828	27.67
99.878	96	2108904	27.89
99.878	98	2108984	28.93
99.878	100	2109072	28.77
99.878	102	2109156	28.89
99.878	104	2109220	29.77
99.878	106	2109296	30.02
99.878	108	2109360	29.97
99.878	110	2109428	30.05
99.878	112	2109500	29.91
99.878	114	2109564	29.85
99.878	116	2109624	30.14
99.878	118	2109688	29.99
99.878	120	2109744	29.97
99.878	122	2109800	29.93
99.878	124	2109856	29.41
99.878	126	2109916	29.73
99.878	128	2109972	30.15
99.878	130	2110036	30.33
99.878	132	2110088	30.14
99.878	134	2110144	29.82
99.878	136	2110196	29.97
99.878	138	2110252	29.92
99.878	140	2110308	29.96
99.878	142	2110356	29.70
99.878	144	2110412	29.54
99.878	146	2110460	29.70
99.878	148	2110512	29.57
99.878	150	2110560	29.71
99.878	152	2110616	30.33
99.878	154	2110664	30.14
99.878	156	2110712	30.37
99.878	158	2110764	30.58
99.878	160	2110812	30.54
99.878	162	2110864	30.49
99.878	164	2110912	30.62
99.878	166	2110960	30.67
99.878	168	2111004	30.46
99.878	170	2111052	30.48
99.878	172	2111096	30.44
99.878	174	2111140	30.37
99.878	176	2111180	30.53
99.878	178	2111224	30.44
99.878	180	2111268	30.40
99.878	182	2111304	30.39
99.878	184	2111348	30.03
99.878	186	2111384	30.23
99.878	188	2111432	30.15
99.878	190	2111468	30.40
99.878	192	2111508	30.44
99.878	194	2111544	30.38
99.878	196	2111584	30.42
99.878	198	2111624	30.37
99.878	200	2111660	30.44
99.872	10	2101380	12.72
99.872	12	2101668	13.35
99.872	14	2102012	13.97
99.872	16	2102404	15.07
99.872	18	2102820	19.15
99.872	20	2103260	19.79
99.872	22	2103716	19.39
99.872	24	2104024	19.68
99.872	26	2104280	20.87
99.872	28	2104520	20.74
99.872	30	2104752	21.07
99.872	32	2104988	21.27
99.872	34	2105236	21.34
99.872	36	2105476	23.59
99.872	38	2105720	23.99
99.872	40	2105960	23.36
99.872	42	2106204	24.40
99.872	44	2106400	23.59
