Bits	ThresholdPct	Log10MeanSqErr	CompressionRatio
4	10.0	-2.611284	62.103051
4	15.0	-2.627483	62.084693
4	20.0	-2.678733	63.008708
4	25.0	-2.734696	64.850563
4	30.0	-2.634056	66.306084
4	35.0	-2.622998	66.823190
4	40.0	-2.621881	68.244499
4	45.0	-2.625044	70.213670
4	50.0	-2.627055	71.929950
4	55.0	-2.61073	73.679799
4	60.0	-2.566496	75.071758
4	65.0	-2.524006	76.869673
4	70.0	-2.463136	78.410643
4	75.0	-2.393857	80.056614
4	80.0	-2.305827	81.755775
4	85.0	-2.220716	83.226770
4	90.0	-2.12851	84.735626
5	10.0	-3.438368	51.337564
5	15.0	-3.436299	51.994741
5	20.0	-3.444086	54.135740
5	25.0	-3.405994	55.492008
5	30.0	-3.368368	58.010137
5	35.0	-3.289829	59.900177
5	40.0	-3.199584	61.926258
5	45.0	-3.102028	64.594018
5	50.0	-3.005262	66.746461
5	55.0	-2.899417	69.023097
5	60.0	-2.796431	71.238887
5	65.0	-2.689138	73.554957
5	70.0	-2.584901	75.822866
5	75.0	-2.479991	77.986944
5	80.0	-2.375749	79.960668
5	85.0	-2.268015	81.994569
5	90.0	-2.159036	83.875263
6	10.0	-4.03641	39.363766
6	15.0	-3.992058	42.150354
6	20.0	-3.938615	44.062400
6	25.0	-3.811208	46.459150
6	30.0	-3.67664	49.133968
6	35.0	-3.523723	51.624060
6	40.0	-3.373684	54.818058
6	45.0	-3.223599	58.239460
6	50.0	-3.092808	61.226559
6	55.0	-2.961382	64.356160
6	60.0	-2.841428	66.939759
6	65.0	-2.720658	69.975591
6	70.0	-2.60779	72.579789
6	75.0	-2.496629	75.411010
6	80.0	-2.387487	77.978349
6	85.0	-2.276482	80.501199
6	90.0	-2.164405	82.912159
7	10.0	-4.543181	29.338056
7	15.0	-4.41363	32.110721
7	20.0	-4.217184	34.867054
7	25.0	-3.99691	38.270670
7	30.0	-3.79171	41.084105
7	35.0	-3.596348	44.252282
7	40.0	-3.421441	47.923404
7	45.0	-3.255031	51.863724
7	50.0	-3.114789	55.322343
7	55.0	-2.976954	58.980447
7	60.0	-2.852336	62.495023
7	65.0	-2.728601	66.022402
7	70.0	-2.613269	69.333130
7	75.0	-2.500423	72.682005
7	80.0	-2.39003	75.811130
7	85.0	-2.278223	78.949386
7	90.0	-2.1656	81.840974
8	10.0	-4.965128	18.857509
8	15.0	-4.653352	21.825999
8	20.0	-4.339568	25.065738
8	25.0	-4.062493	28.835189
8	30.0	-3.827647	32.668507
8	35.0	-3.61762	36.364573
8	40.0	-3.434576	40.588468
8	45.0	-3.263814	45.179671
8	50.0	-3.1207	49.271435
8	55.0	-2.980979	53.684020
8	60.0	-2.855167	57.597369
8	65.0	-2.73058	61.721116
8	70.0	-2.614679	65.779305
8	75.0	-2.5014	69.661832
8	80.0	-2.390744	73.411846
8	85.0	-2.278679	77.156854
8	90.0	-2.165895	80.664480
9	10.0	-5.186847	10.236007
9	15.0	-4.735687	13.515472
9	20.0	-4.393822	16.705906
9	25.0	-4.079382	20.973581
9	30.0	-3.836976	24.851424
9	35.0	-3.628761	29.007071
9	40.0	-3.438048	33.708471
9	45.0	-3.266092	38.604099
9	50.0	-3.122158	43.236643
9	55.0	-2.982011	48.065180
9	60.0	-2.855848	52.773023
9	65.0	-2.73106	57.516569
9	70.0	-2.615036	62.126625
9	75.0	-2.501658	66.621369
9	80.0	-2.390921	71.023238
9	85.0	-2.2788	75.327915
9	90.0	-2.165969	79.442734
10	10.0	-5.272108	3.760761
10	15.0	-4.759567	7.011169
10	20.0	-4.402851	10.700327
10	25.0	-4.08361	15.228343
10	30.0	-3.840133	18.442678
10	35.0	-3.630036	24.130267
10	40.0	-3.439111	27.853119
10	45.0	-3.266507	34.086394
10	50.0	-3.122478	39.131594
10	55.0	-2.982223	44.264060
10	60.0	-2.856006	49.086469
10	65.0	-2.73118	54.136717
10	70.0	-2.617093	58.827388
10	75.0	-2.501726	63.834572
10	80.0	-2.390966	68.590713
10	85.0	-2.278833	73.522615
10	90.0	-2.165991	78.194177
11	10.0	-5.308564	0.009167
11	15.0	-4.768685	3.992194
11	20.0	-4.406879	7.455933
11	25.0	-4.115902	11.500430
11	30.0	-3.840236	16.231418
11	35.0	-3.630624	20.636779
11	40.0	-3.440784	25.921863
11	45.0	-3.266721	31.375617
11	50.0	-3.133452	35.873920
11	55.0	-2.982321	41.664058
11	60.0	-2.856058	47.029042
11	65.0	-2.731216	52.164179
11	70.0	-2.617116	57.092482
11	75.0	-2.501736	62.360936
11	80.0	-2.390977	66.877228
11	85.0	-2.281503	72.364628
11	90.0	-2.165996	77.228308
12	10.0	-5.323558	-2.483439
12	15.0	-4.773503	1.299000
12	20.0	-4.408755	5.185890
12	25.0	-4.116699	9.327435
12	30.0	-3.840618	14.217401
12	35.0	-3.630867	18.743074
12	40.0	-3.440958	23.784107
12	45.0	-3.266827	29.466629
12	50.0	-3.133511	34.359866
12	55.0	-2.982363	40.054357
12	60.0	-2.8561	45.253396
12	65.0	-2.731238	50.714940
12	70.0	-2.61713	55.771554
12	75.0	-2.5052	61.072022
12	80.0	-2.390976	66.332781
12	85.0	-2.281506	71.529120
12	90.0	-2.167912	76.661843
