Bits	ThresholdPct	Log10MeanSqErr	CompressionRatio
4	10.0	-1.165031	69.778383
4	15.0	-1.17509	68.742788
4	20.0	-1.160266	70.061958
4	25.0	-1.161934	71.404183
4	30.0	-1.194286	72.690427
4	35.0	-1.23451	73.510635
4	40.0	-1.279621	74.989903
4	45.0	-1.331979	76.453316
4	50.0	-1.368245	77.607858
4	55.0	-1.392246	78.754365
4	60.0	-1.410559	79.787266
4	65.0	-1.412955	80.776989
4	70.0	-1.407134	81.757128
4	75.0	-1.400905	82.731354
4	80.0	-1.400456	83.672106
4	85.0	-1.405478	84.644735
4	90.0	-1.424992	85.578072
5	10.0	-2.110532	59.176290
5	15.0	-2.155388	60.073507
5	20.0	-2.17034	61.967552
5	25.0	-2.194176	63.375700
5	30.0	-2.220891	64.894116
5	35.0	-2.242085	66.395223
5	40.0	-2.243861	68.619621
5	45.0	-2.238205	70.888650
5	50.0	-2.241797	72.794425
5	55.0	-2.236405	74.653518
5	60.0	-2.223067	76.326001
5	65.0	-2.207957	78.191030
5	70.0	-2.17892	79.898155
5	75.0	-2.145148	81.432259
5	80.0	-2.112713	82.815826
5	85.0	-2.067355	84.144580
5	90.0	-2.011408	85.298026
6	10.0	-2.877792	47.954875
6	15.0	-2.914047	49.848920
6	20.0	-2.935291	52.105790
6	25.0	-2.941886	54.219919
6	30.0	-2.929444	56.503826
6	35.0	-2.916846	58.548576
6	40.0	-2.885302	61.315471
6	45.0	-2.837324	64.331275
6	50.0	-2.789016	66.813904
6	55.0	-2.724487	69.339424
6	60.0	-2.655932	71.786743
6	65.0	-2.581491	74.109417
6	70.0	-2.500463	76.480180
6	75.0	-2.415511	78.691965
6	80.0	-2.328539	80.645019
6	85.0	-2.23159	82.590562
6	90.0	-2.134777	84.318596
7	10.0	-3.563495	36.588979
7	15.0	-3.581122	39.117265
7	20.0	-3.561659	42.007017
7	25.0	-3.509186	44.784570
7	30.0	-3.444494	47.760773
7	35.0	-3.348626	50.405288
7	40.0	-3.247463	53.737319
7	45.0	-3.130805	57.466197
7	50.0	-3.025309	60.545874
7	55.0	-2.910501	63.797748
7	60.0	-2.802391	66.750073
7	65.0	-2.695026	69.800711
7	70.0	-2.58695	72.760594
7	75.0	-2.479845	75.572276
7	80.0	-2.375954	78.173947
7	85.0	-2.26724	80.798757
7	90.0	-2.158255	83.119226
8	10.0	-4.191586	25.553709
8	15.0	-4.140224	28.556728
8	20.0	-4.017133	32.070893
8	25.0	-3.875124	35.477740
8	30.0	-3.705199	39.012539
8	35.0	-3.54261	42.273015
8	40.0	-3.38768	46.239567
8	45.0	-3.226536	50.568676
8	50.0	-3.094956	54.287869
8	55.0	-2.962647	58.157051
8	60.0	-2.839982	61.773336
8	65.0	-2.722231	65.362734
8	70.0	-2.607452	68.988854
8	75.0	-2.4946	72.448540
8	80.0	-2.38671	75.689095
8	85.0	-2.274562	78.921402
8	90.0	-2.163271	81.888920
9	10.0	-4.702535	15.370464
9	15.0	-4.521798	18.506402
9	20.0	-4.259896	22.301078
9	25.0	-4.023389	26.223165
9	30.0	-3.795754	30.395252
9	35.0	-3.600903	34.309345
9	40.0	-3.42554	38.811028
9	45.0	-3.252046	43.756616
9	50.0	-3.113433	48.025250
9	55.0	-2.975294	52.543896
9	60.0	-2.848889	56.818581
9	65.0	-2.728872	61.019260
9	70.0	-2.612096	65.240210
9	75.0	-2.498034	69.328910
9	80.0	-2.389175	73.184955
9	85.0	-2.276271	77.056235
9	90.0	-2.164404	80.634433
10	10.0	-5.069345	6.787068
10	15.0	-4.698377	10.126448
10	20.0	-4.34696	14.036280
10	25.0	-4.069714	18.237418
10	30.0	-3.82166	22.688872
10	35.0	-3.615996	26.921052
10	40.0	-3.435544	31.815267
10	45.0	-3.258502	37.281096
10	50.0	-3.117755	42.006588
10	55.0	-2.978358	47.097480
10	60.0	-2.851066	51.917118
10	65.0	-2.730439	56.737947
10	70.0	-2.613259	61.570358
10	75.0	-2.498829	66.252428
10	80.0	-2.389759	70.694447
10	85.0	-2.276657	75.218886
10	90.0	-2.164682	79.393041
11	10.0	-5.231615	0.890899
11	15.0	-4.755304	4.512471
11	20.0	-4.37104	8.523393
11	25.0	-4.081129	12.856334
11	30.0	-3.827738	17.406780
11	35.0	-3.619717	21.747148
11	40.0	-3.437955	26.827192
11	45.0	-3.260022	32.490188
11	50.0	-3.118797	37.506735
11	55.0	-2.979105	42.812008
11	60.0	-2.851642	47.957808
11	65.0	-2.730827	53.176224
11	70.0	-2.613535	58.333045
11	75.0	-2.499032	63.481855
11	80.0	-2.389908	68.382955
11	85.0	-2.276752	73.428112
11	90.0	-2.164749	78.164864
12	10.0	-5.292695	-2.317810
12	15.0	-4.771501	1.507592
12	20.0	-4.376883	5.581677
12	25.0	-4.084047	9.996480
12	30.0	-3.829394	14.599389
12	35.0	-3.620615	19.077384
12	40.0	-3.438531	24.203253
12	45.0	-3.260389	29.944241
12	50.0	-3.119077	35.026819
12	55.0	-2.9793	40.450120
12	60.0	-2.851776	45.721406
12	65.0	-2.730927	51.031530
12	70.0	-2.613607	56.367344
12	75.0	-2.499078	61.694914
12	80.0	-2.38994	66.851151
12	85.0	-2.276776	72.168183
12	90.0	-2.164767	77.227658
