Bits	ThresholdPct	Log10MeanSqErr	CompressionRatio
4	15.0	-1.376606	62.014771
4	20.0	-1.376644	63.021851
4	25.0	-1.376644	63.021851
4	30.0	-1.405604	64.108276
4	35.0	-1.452565	65.316772
4	40.0	-1.487132	67.465210
4	45.0	-1.487273	68.740845
4	50.0	-1.528643	70.828247
4	55.0	-1.520446	72.659302
4	60.0	-1.533641	74.777222
4	65.0	-1.574916	76.535034
4	70.0	-1.63383	78.085327
4	75.0	-1.708768	79.885864
4	80.0	-1.829036	81.405640
4	85.0	-1.915921	82.943726
4	90.0	-1.916872	84.530640
5	15.0	-2.342041	50.558472
5	20.0	-2.342027	53.665161
5	25.0	-2.342027	53.665161
5	30.0	-2.329146	54.910278
5	35.0	-2.38058	57.058716
5	40.0	-2.336611	59.469604
5	45.0	-2.336555	61.410522
5	50.0	-2.458401	64.144897
5	55.0	-2.470772	66.635132
5	60.0	-2.504761	69.479370
5	65.0	-2.541644	71.908569
5	70.0	-2.655746	74.136353
5	75.0	-2.66474	76.675415
5	80.0	-2.587208	78.793335
5	85.0	-2.617225	80.978394
5	90.0	-2.683418	83.193970
6	15.0	-3.029675	41.047668
6	20.0	-3.029486	44.258118
6	25.0	-3.029486	44.258118
6	30.0	-3.095985	46.437073
6	35.0	-3.034869	48.896790
6	40.0	-3.210325	51.777649
6	45.0	-3.209212	54.255676
6	50.0	-3.209336	57.551575
6	55.0	-3.207549	60.676575
6	60.0	-3.166129	64.186096
6	65.0	-3.212934	67.250061
6	70.0	-3.268379	70.088196
6	75.0	-3.232677	73.341370
6	80.0	-3.273646	76.106262
6	85.0	-3.217228	78.901672
6	90.0	-3.105118	81.776428
7	15.0	-3.765134	33.224487
7	20.0	-3.764334	36.441040
7	25.0	-3.764334	36.441040
7	30.0	-3.720274	38.574219
7	35.0	-3.770285	41.311646
7	40.0	-3.76408	44.021606
7	45.0	-3.759747	47.463989
7	50.0	-3.847117	50.973511
7	55.0	-3.860118	54.809570
7	60.0	-3.866465	58.901978
7	65.0	-3.826798	62.530518
7	70.0	-3.847073	65.972900
7	75.0	-3.739055	69.921875
7	80.0	-3.631275	73.248291
7	85.0	-3.474942	76.696777
7	90.0	-3.250695	80.215454
8	15.0	-4.322681	26.620483
8	20.0	-4.31918	29.843140
8	25.0	-4.31918	29.843140
8	30.0	-4.447101	32.106018
8	35.0	-4.328337	34.786987
8	40.0	-4.499127	37.719727
8	45.0	-4.475679	41.143799
8	50.0	-4.37186	45.164490
8	55.0	-4.356297	48.947144
8	60.0	-4.32795	53.245544
8	65.0	-4.239909	57.484436
8	70.0	-4.140595	61.447144
8	75.0	-3.958417	66.027832
8	80.0	-3.79368	69.944763
8	85.0	-3.574061	74.050903
8	90.0	-3.297839	78.215027
9	15.0	-4.971585	21.009827
9	20.0	-4.9546	24.232483
9	25.0	-4.9546	24.232483
9	30.0	-4.969077	26.757812
9	35.0	-4.964392	29.309082
9	40.0	-4.940114	32.173157
9	45.0	-4.878057	35.591125
9	50.0	-4.813621	39.497375
9	55.0	-4.740951	43.583679
9	60.0	-4.599391	47.938538
9	65.0	-4.431021	52.384949
9	70.0	-4.259919	56.649780
9	75.0	-4.047926	61.599731
9	80.0	-3.838939	66.062927
9	85.0	-3.595869	70.748901
9	90.0	-3.309024	75.575256
10	15.0	-5.563867	15.574646
10	20.0	-5.501068	18.797302
10	25.0	-5.501068	18.797302
10	30.0	-5.455864	21.278381
10	35.0	-5.424935	23.956299
10	40.0	-5.369828	26.835632
10	45.0	-5.219722	30.247498
10	50.0	-5.078443	34.054565
10	55.0	-4.887949	38.110352
10	60.0	-4.686326	42.605591
10	65.0	-4.499656	47.126770
10	70.0	-4.298146	51.437378
10	75.0	-4.06447	56.652832
10	80.0	-3.849327	61.392212
10	85.0	-3.601436	66.627502
10	90.0	-3.311811	72.148132
11	15.0	-6.22346	9.892273
11	20.0	-5.991062	13.114929
11	25.0	-5.991062	13.114929
11	30.0	-5.918206	15.617371
11	35.0	-5.670332	18.159485
11	40.0	-5.564147	21.028137
11	45.0	-5.347727	24.446106
11	50.0	-5.14011	28.337097
11	55.0	-4.937474	32.302856
11	60.0	-4.718761	36.820984
11	65.0	-4.512454	41.282654
11	70.0	-4.307511	45.652771
11	75.0	-4.069877	50.993347
11	80.0	-3.852104	55.880737
11	85.0	-3.603431	61.267090
11	90.0	-3.312415	67.430115
12	15.0	-6.737947	3.627014
12	20.0	-6.217899	6.838989
12	25.0	-6.217899	6.838989
12	30.0	-6.118656	9.384155
12	35.0	-5.753322	11.711121
12	40.0	-5.625336	14.979553
12	45.0	-5.383796	18.386841
12	50.0	-5.159173	22.242737
12	55.0	-4.951234	26.400757
12	60.0	-4.725057	30.776978
12	65.0	-4.51722	35.186768
12	70.0	-4.309391	39.622498
12	75.0	-4.071252	45.016479
12	80.0	-3.852916	49.943542
12	85.0	-3.603757	55.581665
12	90.0	-3.312598	62.010193
