Thresh%	Bins	Bytes	pSNR
99.900	10	8208	19.16
99.900	12	8212	18.33
99.900	14	8212	20.07
99.900	16	8212	20.48
99.900	18	8216	20.62
99.900	20	8216	20.40
99.900	22	8216	20.89
99.900	24	8220	20.91
99.900	26	8220	21.02
99.900	28	8220	20.94
99.900	30	8220	21.03
99.900	32	8220	21.08
99.900	34	8220	21.14
99.900	36	8224	21.07
99.900	38	8224	21.13
99.900	40	8224	21.13
99.900	42	8224	21.16
99.900	44	8224	21.14
99.900	46	8224	21.15
99.900	48	8228	21.16
99.900	50	8228	21.18
99.900	52	8228	21.16
99.900	54	8228	21.20
99.900	56	8228	21.18
99.900	58	8228	21.21
99.900	60	8228	21.18
99.900	62	8228	21.21
99.900	64	8228	21.21
99.900	66	8228	21.23
99.900	68	8228	21.20
99.900	70	8228	21.22
99.900	72	8228	21.19
99.900	74	8232	21.22
99.900	76	8228	21.22
99.900	78	8232	21.22
99.900	80	8232	21.22
99.900	82	8232	21.22
99.900	84	8232	21.21
99.900	86	8232	21.23
99.900	88	8232	21.22
99.900	90	8232	21.22
99.900	92	8232	21.22
99.900	94	8232	21.23
99.900	96	8232	21.23
99.900	98	8232	21.23
99.900	100	8232	21.23
99.900	102	8232	21.23
99.900	104	8232	21.24
99.900	106	8232	21.22
99.900	108	8232	21.23
99.900	110	8232	21.23
99.900	112	8232	21.23
99.900	114	8232	21.23
99.900	116	8232	21.23
99.900	118	8232	21.24
99.900	120	8232	21.23
99.900	122	8232	21.24
99.900	124	8232	21.24
99.900	126	8232	21.24
99.900	128	8232	21.24
99.900	130	8232	21.24
99.900	132	8232	21.24
99.900	134	8232	21.22
99.900	136	8232	21.25
99.900	138	8232	21.23
99.900	140	8236	21.24
99.900	142	8236	21.24
99.900	144	8236	21.24
99.900	146	8236	21.23
99.900	148	8236	21.25
99.900	150	8236	21.23
99.900	152	8236	21.24
99.900	154	8236	21.24
99.900	156	8236	21.24
99.900	158	8236	21.23
99.900	160	8236	21.24
99.900	162	8236	21.24
99.900	164	8236	21.24
99.900	166	8236	21.23
99.900	168	8236	21.24
99.900	170	8236	21.24
99.900	172	8236	21.24
99.900	174	8236	21.24
99.900	176	8236	21.24
99.900	178	8236	21.23
99.900	180	8236	21.24
99.900	182	8236	21.24
99.900	184	8236	21.24
99.900	186	8236	21.24
99.900	188	8236	21.24
99.900	190	8236	21.24
99.900	192	8236	21.24
99.900	194	8236	21.24
99.900	196	8236	21.24
99.900	198	8236	21.25
99.900	200	8236	21.23
99.895	10	8208	18.43
99.895	12	8212	18.49
99.895	14	8212	20.04
99.895	16	8216	20.47
99.895	18	8216	20.41
99.895	20	8216	20.52
99.895	22	8220	20.99
99.895	24	8220	20.99
99.895	26	8220	21.05
99.895	28	8220	21.01
99.895	30	8224	21.11
99.895	32	8224	21.09
99.895	34	8224	21.17
99.895	36	8224	21.14
99.895	38	8224	21.20
99.895	40	8224	21.17
99.895	42	8228	21.20
99.895	44	8228	21.19
99.895	46	8228	21.25
99.895	48	8228	21.20
99.895	50	8228	21.22
99.895	52	8228	21.24
99.895	54	8228	21.26
99.895	56	8228	21.24
99.895	58	8228	21.27
99.895	60	8228	21.24
99.895	62	8232	21.27
99.895	64	8232	21.29
99.895	66	8232	21.26
99.895	68	8232	21.28
99.895	70	8232	21.27
99.895	72	8232	21.27
99.895	74	8232	21.28
99.895	76	8232	21.29
99.895	78	8232	21.28
99.895	80	8232	21.29
99.895	82	8232	21.28
99.895	84	8232	21.29
99.895	86	8232	21.28
99.895	88	8232	21.29
99.895	90	8232	21.27
99.895	92	8232	21.29
99.895	94	8236	21.29
99.895	96	8232	21.29
99.895	98	8236	21.28
99.895	100	8236	21.30
99.895	102	8236	21.28
99.895	104	8236	21.29
99.895	106	8236	21.28
99.895	108	8236	21.30
99.895	110	8236	21.28
99.895	112	8236	21.29
99.895	114	8236	21.29
99.895	116	8236	21.30
99.895	118	8236	21.29
99.895	120	8236	21.29
99.895	122	8236	21.30
99.895	124	8236	21.29
99.895	126	8236	21.29
99.895	128	8236	21.30
99.895	130	8236	21.30
99.895	132	8236	21.31
99.895	134	8236	21.30
99.895	136	8236	21.29
99.895	138	8236	21.30
99.895	140	8236	21.29
99.895	142	8236	21.30
99.895	144	8236	21.30
99.895	146	8236	21.30
99.895	148	8236	21.29
99.895	150	8236	21.31
99.895	152	8236	21.30
99.895	154	8240	21.30
99.895	156	8236	21.30
99.895	158	8236	21.30
99.895	160	8236	21.29
99.895	162	8236	21.30
99.895	164	8240	21.30
99.895	166	8240	21.30
99.895	168	8236	21.29
99.895	170	8236	21.30
99.895	172	8240	21.30
99.895	174	8236	21.30
99.895	176	8240	21.30
99.895	178	8240	21.30
99.895	180	8240	21.30
99.895	182	8240	21.30
99.895	184	8240	21.30
99.895	186	8240	21.30
99.895	188	8236	21.30
99.895	190	8240	21.30
99.895	192	8240	21.31
99.895	194	8240	21.30
99.895	196	8240	21.30
99.895	198	8240	21.30
99.895	200	8236	21.30
99.890	10	8212	17.40
99.890	12	8216	18.50
99.890	14	8216	20.08
99.890	16	8216	20.18
99.890	18	8220	20.32
99.890	20	8220	20.58
99.890	22	8220	20.90
99.890	24	8220	21.06
99.890	26	8224	21.09
99.890	28	8224	21.01
99.890	30	8224	21.15
99.890	32	8224	21.11
99.890	34	8224	21.15
99.890	36	8228	21.20
99.890	38	8228	21.28
99.890	40	8228	21.24
99.890	42	8228	21.27
99.890	44	8228	21.26
99.890	46	8228	21.29
99.890	48	8228	21.27
99.890	50	8228	21.29
99.890	52	8232	21.30
99.890	54	8232	21.32
99.890	56	8232	21.31
99.890	58	8232	21.33
99.890	60	8232	21.32
99.890	62	8232	21.33
99.890	64	8232	21.33
99.890	66	8232	21.33
99.890	68	8232	21.35
99.890	70	8232	21.35
99.890	72	8232	21.36
99.890	74	8232	21.34
99.890	76	8232	21.36
99.890	78	8236	21.36
99.890	80	8236	21.36
99.890	82	8236	21.35
99.890	84	8236	21.38
99.890	86	8236	21.35
99.890	88	8236	21.36
99.890	90	8236	21.36
99.890	92	8236	21.37
99.890	94	8236	21.36
99.890	96	8236	21.36
99.890	98	8236	21.35
99.890	100	8236	21.38
99.890	102	8236	21.35
99.890	104	8236	21.37
99.890	106	8236	21.35
99.890	108	8236	21.37
99.890	110	8236	21.36
99.890	112	8236	21.37
99.890	114	8236	21.37
99.890	116	8236	21.37
99.890	118	8236	21.37
99.890	120	8236	21.37
99.890	122	8236	21.37
99.890	124	8236	21.37
99.890	126	8240	21.38
99.890	128	8240	21.38
99.890	130	8240	21.38
99.890	132	8240	21.37
99.890	134	8240	21.37
99.890	136	8240	21.38
99.890	138	8240	21.38
99.890	140	8240	21.36
99.890	142	8240	21.38
99.890	144	8240	21.37
99.890	146	8240	21.37
99.890	148	8240	21.37
99.890	150	8240	21.38
99.890	152	8240	21.37
99.890	154	8240	21.37
99.890	156	8240	21.37
99.890	158	8240	21.37
99.890	160	8240	21.37
99.890	162	8240	21.37
99.890	164	8240	21.38
99.890	166	8240	21.37
99.890	168	8240	21.37
99.890	170	8240	21.38
99.890	172	8240	21.37
99.890	174	8240	21.37
99.890	176	8240	21.37
99.890	178	8240	21.38
99.890	180	8240	21.38
99.890	182	8240	21.38
99.890	184	8240	21.37
99.890	186	8240	21.38
99.890	188	8240	21.38
99.890	190	8240	21.37
99.890	192	8240	21.38
99.890	194	8240	21.37
99.890	196	8240	21.38
99.890	198	8240	21.37
99.890	200	8244	21.37
99.884	10	8212	17.42
99.884	12	8216	18.63
99.884	14	8216	20.26
99.884	16	8216	20.25
99.884	18	8220	20.43
99.884	20	8220	20.81
99.884	22	8220	20.91
99.884	24	8224	20.97
99.884	26	8224	21.06
99.884	28	8224	21.06
99.884	30	8228	21.22
99.884	32	8228	21.15
99.884	34	8228	21.22
99.884	36	8228	21.20
99.884	38	8228	21.26
99.884	40	8228	21.26
99.884	42	8228	21.27
99.884	44	8232	21.34
99.884	46	8232	21.31
99.884	48	8232	21.33
99.884	50	8232	21.33
99.884	52	8232	21.33
99.884	54	8232	21.31
99.884	56	8232	21.33
99.884	58	8236	21.33
99.884	60	8236	21.37
99.884	62	8236	21.34
99.884	64	8236	21.35
99.884	66	8236	21.36
99.884	68	8236	21.37
99.884	70	8236	21.36
99.884	72	8236	21.35
99.884	74	8236	21.36
99.884	76	8236	21.37
99.884	78	8236	21.38
99.884	80	8236	21.38
99.884	82	8236	21.38
99.884	84	8236	21.37
99.884	86	8236	21.38
99.884	88	8240	21.37
99.884	90	8240	21.38
99.884	92	8240	21.37
99.884	94	8240	21.39
99.884	96	8240	21.39
99.884	98	8240	21.38
99.884	100	8240	21.37
99.884	102	8240	21.39
99.884	104	8240	21.38
99.884	106	8240	21.39
99.884	108	8240	21.37
99.884	110	8240	21.40
99.884	112	8240	21.38
99.884	114	8240	21.39
99.884	116	8240	21.39
99.884	118	8240	21.38
99.884	120	8240	21.39
99.884	122	8240	21.39
99.884	124	8240	21.39
99.884	126	8240	21.39
99.884	128	8240	21.40
99.884	130	8240	21.39
99.884	132	8240	21.39
99.884	134	8240	21.38
99.884	136	8240	21.39
99.884	138	8244	21.39
99.884	140	8240	21.39
99.884	142	8244	21.38
99.884	144	8244	21.40
99.884	146	8244	21.39
99.884	148	8240	21.39
99.884	150	8240	21.40
99.884	152	8244	21.39
99.884	154	8244	21.39
99.884	156	8240	21.40
99.884	158	8244	21.40
99.884	160	8244	21.38
99.884	162	8244	21.40
99.884	164	8244	21.39
99.884	166	8244	21.39
99.884	168	8244	21.39
99.884	170	8244	21.40
99.884	172	8244	21.39
99.884	174	8244	21.40
99.884	176	8244	21.40
99.884	178	8244	21.40
99.884	180	8244	21.39
99.884	182	8244	21.39
99.884	184	8244	21.39
99.884	186	8244	21.39
99.884	188	8244	21.40
99.884	190	8244	21.40
99.884	192	8244	21.40
99.884	194	8244	21.39
99.884	196	8244	21.40
99.884	198	8244	21.39
99.884	200	8244	21.40
99.878	10	8212	17.63
99.878	12	8216	18.70
99.878	14	8216	20.18
99.878	16	8220	20.18
99.878	18	8220	20.30
99.878	20	8220	20.91
99.878	22	8224	20.99
99.878	24	8224	20.87
99.878	26	8224	21.10
99.878	28	8228	21.10
99.878	30	8228	21.14
99.878	32	8228	21.13
99.878	34	8228	21.22
99.878	36	8232	21.30
99.878	38	8232	21.30
99.878	40	8232	21.33
99.878	42	8232	21.31
99.878	44	8232	21.35
99.878	46	8232	21.33
99.878	48	8236	21.39
99.878	50	8236	21.33
99.878	52	8236	21.38
99.878	54	8236	21.37
99.878	56	8236	21.38
99.878	58	8236	21.37
99.878	60	8236	21.40
99.878	62	8236	21.35
99.878	64	8236	21.40
99.878	66	8236	21.40
99.878	68	8236	21.39
99.878	70	8236	21.40
99.878	72	8240	21.42
99.878	74	8240	21.42
99.878	76	8240	21.41
