Thresh%	Bins	bytes	pSNR
99.900	10	8401316	8.49
99.900	12	8401516	16.83
99.900	14	8401804	18.29
99.900	16	8402212	19.48
99.900	18	8402672	21.78
99.900	20	8403160	21.99
99.900	22	8403720	22.36
99.900	24	8404292	23.19
99.900	26	8404868	23.71
99.900	28	8405524	23.32
99.900	30	8406164	23.16
99.900	32	8406768	24.24
99.900	34	8407348	24.43
99.900	36	8407912	23.86
99.900	38	8408468	24.35
99.900	40	8409012	24.65
99.900	42	8409564	24.63
99.900	44	8410092	24.75
99.900	46	8410636	24.64
99.900	48	8411036	24.71
99.900	50	8411412	24.67
99.900	52	8411760	25.03
99.900	54	8412136	24.73
99.900	56	8412512	24.74
99.900	58	8412876	25.01
99.900	60	8413232	25.02
99.900	62	8413584	24.78
99.900	64	8413932	25.01
99.900	66	8414280	25.03
99.900	68	8414628	25.08
99.900	70	8414960	24.98
99.900	72	8415284	25.03
99.900	74	8415616	25.04
99.900	76	8415936	25.09
99.900	78	8416256	24.99
99.900	80	8416572	25.01
99.900	82	8416876	25.07
99.900	84	8417172	25.15
99.900	86	8417460	25.12
99.900	88	8417744	25.04
99.900	90	8418032	25.14
99.900	92	8418312	25.14
99.900	94	8418604	25.17
99.900	96	8418876	25.04
99.900	98	8419148	25.13
99.900	100	8419424	25.17
99.900	102	8419692	25.17
99.900	104	8419940	25.13
99.900	106	8420180	25.15
99.900	108	8420400	25.16
99.900	110	8420620	25.20
99.900	112	8420844	25.13
99.900	114	8421056	25.13
99.900	116	8421284	25.15
99.900	118	8421504	25.21
99.900	120	8421720	25.20
99.900	122	8421928	25.14
99.900	124	8422132	25.20
99.900	126	8422324	25.20
99.900	128	8422496	25.20
99.900	130	8422668	25.18
99.900	132	8422824	25.19
99.900	134	8422992	25.19
99.900	136	8423156	25.22
99.900	138	8423316	25.18
99.900	140	8423484	25.18
99.900	142	8423640	25.20
99.900	144	8423792	25.23
99.900	146	8423944	25.18
99.900	148	8424088	25.19
99.900	150	8424240	25.22
99.900	152	8424404	25.22
99.900	154	8424560	25.17
99.900	156	8424720	25.21
